Time in ps	0.475 ps (0.45 - 0.5 ps)	1.5 ps (1.4003 - 1.6 ps)	19.8 ps (19.1769 - 20.4 ps)	101 ps (94.9123 - 108 ps)	502 ps (469.744 - 534 ps)
335.0	0.027492305819426417	0.03164775006413918	0.024725561859777766	0.014462752876765	0.003874267011665615
336.0	0.026638179514374537	0.03138224367377649	0.02389144828699211	0.013591235363826858	0.0024980589085953696
337.0	0.024892480003877854	0.027882431351773276	0.02076499305806688	0.013262687195629482	0.002089142451407088
338.0	0.02492326847319566	0.027377678167530672	0.018736488734097455	0.010913156300898848	0.0015901461760101142
339.0	0.02749600712481963	0.027869581517689555	0.019273436518740354	0.010616696156523105	0.0038649823768861845
340.0	0.02300436733441598	0.024654045536682254	0.016236177218152095	0.010104244265186503	0.002125317026013542
341.0	0.022730479180040616	0.024890803587601214	0.013781149581668957	0.008506348041216555	0.001651256132741806
342.0	0.023281966584685242	0.023578151044799007	0.0127887525410851	0.0076438385125104855	0.001968742630081666
343.0	0.02289361351624074	0.022191308533518653	0.011528576899637398	0.006576379536798059	0.0024519418541809916
344.0	0.020881845099838387	0.02047726245113672	0.009692712096749906	0.006523140163785567	0.0020655127940844152
345.0	0.021897631589181742	0.021167991809379214	0.008264319764535559	0.00583129422909624	0.0029321322183287982
346.0	0.02178119221297382	0.019292643333262853	0.006582478910792702	0.004570406061333415	0.002527980308662998
347.0	0.022295244083989342	0.020009194578193737	0.006960657854410662	0.005133733849546846	0.00313303655295306
348.0	0.018567433942404867	0.01635162024458253	0.004369560158610036	0.0033346661160396428	0.0015203249596279153
349.0	0.019140802696352602	0.016483708470935464	0.0031666792383947913	0.002558914940521875	0.0015863032159262238
350.0	0.018885026409589067	0.014794075339487197	0.0018348463267821196	0.0020728105952610293	0.002515728595560232
351.0	0.018988501714503395	0.014162275552191409	0.001358828268015519	0.0019278965239862495	0.001372769365083282
352.0	0.01639668774695121	0.01204490063646495	0.00036329603239398955	0.001740329904145718	0.0016689337519992826
353.0	0.019557180517150923	0.013340184311687863	6.665939660584902e-07	0.0020672210634488167	0.003181597619120252
354.0	0.015228911657811714	0.010029647896675742	-0.0008634324638705801	-0.0011737964909975074	0.0029715798190794607
355.0	0.014067368919021345	0.008338332980749416	-0.0016531717647938979	-0.0007783485855733872	0.0006579881015410218
356.0	0.013952031963257316	0.00828172273111937	-0.005630464002526973	-0.00023255544940793243	0.0006223805681331122
357.0	0.013890107335229749	0.00981120789887429	-0.0034695788696211182	-0.0005377133357543022	0.0008197832262160341
358.0	0.013287360075067388	0.0074752227211606435	-0.005701482772208043	-0.0012102381453926577	0.0020328683269104563
359.0	0.01022226916122547	0.0066673484775269815	-0.006847274115622607	-0.0018418304604089276	0.0006704784351058742
360.0	0.004959764313874643	0.0012409161368638726	-0.007237115387350394	-0.005474223078129524	-0.0006889388203045869
361.0	0.011159823413559323	0.0025669026555048676	-0.005525337962560685	-0.0026189602529570226	0.0013448769406225307
362.0	0.010775856114717812	0.0035112202926668454	-0.006774128129852603	-0.002122635555358763	0.0009971855450242404
363.0	0.009017641813861471	0.0032598048492345367	-0.0032063110778747326	-0.003037921547593084	-0.00029578117288184334
364.0	0.008253868855918528	0.0019693965438581755	-0.0039781056328504144	-0.00027703709518785017	0.001748796246010589
365.0	0.010441419465092111	0.0039044313787918315	-0.003897096303539159	-0.00037958087446906587	0.0013544297674943876
366.0	0.010311986915363853	0.0041779145217732	-0.00393558415909175	-6.565157362104683e-05	0.0007745691581835547
367.0	0.010484235137119923	0.004654978088853155	-0.001459185029770142	0.0011275996966203202	0.0025303448603801845
368.0	0.010733465171510479	0.005261544962745612	0.0008782131217236174	0.00030669397870773673	0.0009338333219899837
369.0	0.013546493243407044	0.007693963790077119	0.0011438982855905082	-0.0005356417660283853	-0.0007524699887416157
370.0	0.0140725724853946	0.010367393718739007	0.004770575419694136	0.004080190716733797	0.0017264255861877947
371.0	0.011793920746662995	0.008463673785554092	0.005806089639986326	0.0030116640340505383	0.0014894670188522392
372.0	0.01189477106856399	0.008538849539043082	0.004957949313859377	0.002025291498428803	0.0017170478945633207
373.0	0.013766618185278655	0.011958403587641258	0.006267291848590852	0.005447004480900339	9.437231005939587e-05
374.0	0.013519126875217197	0.010485725239879418	0.005496183180450919	0.0053168292475337855	-0.0005619935686839004
375.0	0.01779961893496884	0.014891106562270837	0.011525366563046391	0.007063088548911429	0.004195838088502182
376.0	0.020751824197896923	0.01970058496010481	0.015920511909410642	0.012399003091587864	0.008697493400232353
377.0	0.014388123072466074	0.012240276559237614	0.0102653252592006	0.007113174005893847	0.0022945049939054572
378.0	0.01362991503913257	0.01283235296691006	0.010782701108359449	0.007066391433802502	-0.00026155479124049033
379.0	0.014879086637785886	0.014102134405023172	0.014354400256893274	0.00903773598636003	0.00034278796479658377
380.0	0.0	0.0	0.0	0.0	0.0
381.0	0.0	0.0	0.0	0.0	0.0
382.0	0.0	0.0	0.0	0.0	0.0
383.0	0.0	0.0	0.0	0.0	0.0
384.0	0.0	0.0	0.0	0.0	0.0
385.0	0.0	0.0	0.0	0.0	0.0
386.0	0.0	0.0	0.0	0.0	0.0
387.0	0.0	0.0	0.0	0.0	0.0
388.0	0.0	0.0	0.0	0.0	0.0
389.0	0.0	0.0	0.0	0.0	0.0
390.0	0.0	0.0	0.0	0.0	0.0
391.0	0.0	0.0	0.0	0.0	0.0
392.0	0.0	0.0	0.0	0.0	0.0
393.0	0.0	0.0	0.0	0.0	0.0
394.0	0.0	0.0	0.0	0.0	0.0
395.0	0.0	0.0	0.0	0.0	0.0
396.0	0.0	0.0	0.0	0.0	0.0
397.0	0.0	0.0	0.0	0.0	0.0
398.0	0.0	0.0	0.0	0.0	0.0
399.0	0.0	0.0	0.0	0.0	0.0
400.0	0.0	0.0	0.0	0.0	0.0
401.0	0.0	0.0	0.0	0.0	0.0
402.0	0.0	0.0	0.0	0.0	0.0
403.0	0.0	0.0	0.0	0.0	0.0
404.0	0.0	0.0	0.0	0.0	0.0
405.0	-0.02075420744309539	-0.021265334059592418	-0.01923193135580121	-0.011206129603537522	-0.0019946133689092396
406.0	-0.023666167492353368	-0.023872325521235912	-0.023493094834271016	-0.012981430480931117	-0.0025233703830551844
407.0	-0.02304372297252185	-0.023779342892965148	-0.022469799559091813	-0.012650223975013938	-0.0014064592120581051
408.0	-0.026930272897149027	-0.026964193488706094	-0.02432305506372984	-0.015203214579686965	-0.00359291996725262
409.0	-0.027348510610119618	-0.02775310958961409	-0.025512185877585858	-0.014700091184632499	-0.0024397287853657958
410.0	-0.02717828193733475	-0.02770095241403322	-0.025679487559304	-0.013756751067751047	-0.0033028449776221587
411.0	-0.029628629793108343	-0.03025445102347729	-0.027236847863329618	-0.01612351224295999	-0.0032173224454502226
412.0	-0.03035417914328624	-0.03125296161304389	-0.02862052405649167	-0.016416114427147445	-0.002660869012241161
413.0	-0.030428766331294176	-0.030480018391581813	-0.02814370685162021	-0.015999703514371112	-0.0033960162189191857
414.0	-0.03129505974097279	-0.031058304815669242	-0.02812363927033292	-0.016577897811620536	-0.0034555923178596817
415.0	-0.030229755729874935	-0.030789580909651042	-0.027737070448201083	-0.01568383608502736	-0.002830409726767155
416.0	-0.03212591234586674	-0.03146506941865577	-0.028934993113199678	-0.01616866041987906	-0.002930633513397064
417.0	-0.03239249020444254	-0.03207059420120758	-0.02939562671921563	-0.016556033352786735	-0.0032953814033539197
418.0	-0.03367427843374781	-0.03364121950845124	-0.030557548417320113	-0.017695568473155364	-0.0034578694495017177
419.0	-0.034139420113357535	-0.0340272170316297	-0.02977591357958891	-0.0175969363020936	-0.0029932664391509756
420.0	-0.03321186830493568	-0.03314181614009291	-0.029125964040858647	-0.016799661997176814	-0.0032526535657714335
421.0	-0.034994148829263945	-0.034421639664720734	-0.031143767907703943	-0.017558412747676437	-0.0035582874419232374
422.0	-0.03657110076385923	-0.035144491813917225	-0.031704554099390526	-0.017594736308971973	-0.003575037581649751
423.0	-0.03642230919702882	-0.03593905221741102	-0.03154944605916142	-0.018703988788819965	-0.003344262948932709
424.0	-0.03664324507006677	-0.035919564289416644	-0.03139556281980363	-0.01919179272385252	-0.0037784010662621006
425.0	-0.0366418037656157	-0.03578793532622969	-0.03152669810111577	-0.01804128710588853	-0.0038824167361977786
426.0	-0.036998661296164304	-0.03562349382836258	-0.031154707671441156	-0.017963755315899936	-0.0036854712096664995
427.0	-0.037272677603555196	-0.035972984130327144	-0.03109414657113331	-0.018026267869718095	-0.003578954927095257
428.0	-0.0372814679015991	-0.03650247732119662	-0.031897343591879596	-0.017808458209173438	-0.0035103090279572204
429.0	-0.03761674926068266	-0.03635325661102683	-0.03153223320165177	-0.017987701470440088	-0.003512841352830275
430.0	-0.03883585532753922	-0.03689671389283952	-0.03176887769640159	-0.018224367237760913	-0.0036178947145219156
431.0	-0.03787868689646066	-0.03682139778195709	-0.03145372938964519	-0.018594505224897438	-0.003944741513569947
432.0	-0.038421618413240585	-0.03737403981260641	-0.03207702576536433	-0.018994313227023225	-0.0037877831779701172
433.0	-0.038666648808934855	-0.036772484814783526	-0.031530744426412724	-0.01805257175208996	-0.0035038317132263536
434.0	-0.03871436963226158	-0.03702482550516902	-0.031327978841410586	-0.01842447418509465	-0.003889260811530278
435.0	-0.03839043901381552	-0.03680458471225724	-0.031437708586183645	-0.0177744179107903	-0.003501356309720218
436.0	-0.03794093219827995	-0.03616801057382328	-0.03079856998638779	-0.017248410233698754	-0.003755772167059723
437.0	-0.03810642083929406	-0.036539709659504684	-0.030753121862764295	-0.017511936865055835	-0.0036502036699596805
438.0	-0.03847879361322879	-0.03692591368029849	-0.03119657842948491	-0.017691582584254475	-0.0035034080885239377
439.0	-0.038488847156673334	-0.036406528098125626	-0.030761777357914948	-0.017925708667244	-0.00308712846140581
440.0	-0.038868762878960274	-0.03650978828030382	-0.030865838157915708	-0.017953045665579655	-0.0038587722503178306
441.0	-0.037330083909639475	-0.035059587596984285	-0.029509048131058382	-0.016836704736142467	-0.003096220818473116
442.0	-0.038055203725365395	-0.03592929125225396	-0.029838042855189616	-0.018059750554680322	-0.003597312185337772
443.0	-0.03611775328610662	-0.03426046200991848	-0.028635627195703804	-0.01674598091989281	-0.003842255786729671
444.0	-0.03576753345233789	-0.033883509715022436	-0.02857714066920637	-0.01586735171763142	-0.0034243680036233053
445.0	-0.034603449322704045	-0.03316353486682274	-0.027515145913232612	-0.015940707921102793	-0.00391033941850303
446.0	-0.03501996933457288	-0.03368142303110494	-0.027771370824109652	-0.016117967732805657	-0.0031606629684399175
447.0	-0.033647590055130114	-0.03211956918451356	-0.026646535115722795	-0.015277819982306626	-0.0032669740186293626
448.0	-0.033804659766907136	-0.03209095337691738	-0.026461690542851225	-0.016130521213052425	-0.0034415016603262846
449.0	-0.03320134353683051	-0.03192593055263642	-0.026369320566378345	-0.015225239776638061	-0.0031769551360915065
450.0	-0.03251346466772014	-0.031126765067063678	-0.02554125712864946	-0.014629738248079172	-0.0030305137107247433
451.0	-0.032852012009617966	-0.03144101766186451	-0.026021580591172464	-0.014663208119892942	-0.002962476699485647
452.0	-0.03208420045015246	-0.031173262880844328	-0.025724284920804027	-0.014295845949442084	-0.0031781702680326466
453.0	-0.031375976239636935	-0.02996499926768477	-0.024734518053408597	-0.014286893670691518	-0.0029817911920567266
454.0	-0.031082165892642677	-0.030125859333702203	-0.024960068051696892	-0.014494584368763802	-0.0029861058868784086
455.0	-0.030087081586098054	-0.028797596822201343	-0.02362277556320824	-0.01414254360709711	-0.003130843824635173
456.0	-0.028791080020990588	-0.02754097077224822	-0.02268960701947652	-0.013371238595702425	-0.003018671324342446
457.0	-0.02916921027025779	-0.028129197853907023	-0.022910513990299676	-0.013205882599850031	-0.002623484527932428
458.0	-0.0281328146461114	-0.02723196531517702	-0.022374725323225583	-0.012777911624349046	-0.003025554951037121
459.0	-0.028239094789095545	-0.027203795416107984	-0.02214999785157393	-0.012615946384312397	-0.002768219474037165
460.0	-0.02829087208199568	-0.02703494535228848	-0.02209603988594405	-0.012122572437132197	-0.002597469822251134
461.0	-0.026866759066742078	-0.025361933336731177	-0.02079475713384297	-0.01197144551898601	-0.0026596350129962044
462.0	-0.026626640193172922	-0.02589346045551954	-0.021209127952267332	-0.01205192525805785	-0.002755629754704661
463.0	-0.025221248162481585	-0.024297831357255606	-0.020102640983713085	-0.012121461471893642	-0.002460149348632199
464.0	-0.025574914039821102	-0.02472584605094683	-0.020382810873763278	-0.012263119034862241	-0.0024046330919692115
465.0	-0.02372574748910581	-0.023292484084901546	-0.01964312455993321	-0.011073284046529464	-0.0026285841922982552
466.0	-0.02366818298437967	-0.023384814545147417	-0.019216749173713986	-0.011171554059786634	-0.0028756639286159416
467.0	-0.0221823967869853	-0.02170896055967007	-0.01736606138960902	-0.010293031581888545	-0.0025489190010345307
468.0	-0.02183128426214325	-0.02079202550722931	-0.01710901464307345	-0.010846206833207516	-0.0023016073865787076
469.0	-0.02157570076782765	-0.020752536057184186	-0.017100292389908164	-0.010133244960354261	-0.002740527964428567
470.0	-0.020400865735975035	-0.019764695273542816	-0.015875564378434567	-0.009587730142474011	-0.0024990996029304246
471.0	-0.020006439434134694	-0.01971386132537967	-0.015338796669743037	-0.008855491068219621	-0.002023521568003934
472.0	-0.02010961871438842	-0.01835495958392938	-0.014981532838550462	-0.008704123312587403	-0.0021194073423567482
473.0	-0.018724006669792688	-0.018062141986686882	-0.014654857145662403	-0.00858212021073179	-0.002222540959546302
474.0	-0.0183547856819097	-0.017755613404590018	-0.013493359605849596	-0.007953538598381722	-0.001734019378817409
475.0	-0.017425177648642917	-0.016625643487272843	-0.01343863063171706	-0.008267115950363075	-0.0021387592922305987
476.0	-0.01748700001718041	-0.01632307082504269	-0.012735299437944901	-0.007719084607073881	-0.0018475300867065488
477.0	-0.016411971711246944	-0.015470007521297735	-0.01199375661027596	-0.006964860177497699	-0.0021965218475757326
478.0	-0.015570547128808438	-0.01454786080236816	-0.010963450219332533	-0.0069637060552616425	-0.0019832702025626794
479.0	-0.014861245061291132	-0.013693753634287438	-0.010049617985156918	-0.006335960931915442	-0.0014076641908341604
480.0	-0.014087349304116308	-0.012457655556798794	-0.009299952723734347	-0.005744457520517094	-0.0017140694747406677
481.0	-0.013494957640882257	-0.012213661396811633	-0.008485438901611521	-0.00537333898902942	-0.001632047554736631
482.0	-0.013105099970690518	-0.011542119778263506	-0.007954622687051018	-0.005078238985276906	-0.0015298688658560518
483.0	-0.012875050462488852	-0.01175755435735394	-0.008221749027112204	-0.005273424845200735	-0.0015488053352071425
484.0	-0.01164263686696383	-0.0107445346737751	-0.007278218830319922	-0.004482374026621232	-0.0016035673252241766
485.0	-0.010808639329627698	-0.009324182344554443	-0.005783220403657009	-0.003910882670838772	-0.0014491442841314955
486.0	-0.010365470655822748	-0.00913304593150283	-0.005769238193675815	-0.003957364748553716	-0.0017792904524252956
487.0	-0.009776374455734512	-0.007945619623093734	-0.00522383537474912	-0.0034825636227937906	-0.0014000863975330057
488.0	-0.009532343411154347	-0.007409977310404051	-0.0041606596070160925	-0.00311853803918549	-0.0013833475512621718
489.0	-0.00865667744372873	-0.006912254497880592	-0.003480870315852639	-0.0025051065133722124	-0.0013578366643430986
