	0	1	2
481.0	-1151096663186.0203	-1284184410369.248	-1209920881398.6416
482.0	-1091387439222.8738	-1217769316096.8567	-1161930682306.8513
483.0	-1037653717879.4429	-1160714646125.4814	-1093397352204.3157
484.0	-994612876109.1671	-1111187094923.6445	-1045476475024.7972
485.0	-929427233597.4861	-1042964435428.563	-985500871701.4636
486.0	-901369738967.7344	-1008916868486.9097	-939807359261.5543
487.0	-797221177275.5405	-906742803607.1337	-858475268810.2887
488.0	-736635527420.1714	-845743967830.3451	-799067757366.7212
489.0	-697529516380.9976	-798910645524.9382	-745855433269.3004
490.0	-638851447766.3398	-740042154103.874	-692565396819.0056
491.0	-582622749787.9801	-682642973878.955	-631086509990.9723
492.0	-546323295781.5382	-633173277613.9485	-594795696833.6156
493.0	-512100395504.7117	-607529505124.1691	-559334887186.1339
494.0	-451355772494.0555	-538251384981.2939	-506174949083.0412
495.0	-394026654881.0596	-478680780366.0339	-436245240518.0071
496.0	-383509440559.4028	-461190906772.66907	-425536445819.1383
497.0	-329367007647.8891	-415968426982.19116	-372161472949.93207
498.0	-295760700537.32153	-375305918002.509	-343228345873.47644
499.0	-250198078189.84494	-326722661859.1116	-293473817358.4416
500.0	-229220079475.47565	-303425323350.7218	-269813811750.115
501.0	-177410773412.30267	-247274187874.85236	-214420693128.3335
502.0	-147363234573.33038	-211491965223.70914	-183499685831.39633
503.0	-135664332559.8916	-200821301844.55103	-166697672003.3676
504.0	-101549824080.45451	-159133682138.32248	-127457947988.9168
505.0	-65697695854.32904	-126360588399.17178	-91492721503.7549
506.0	-53539957825.82243	-99713111237.94165	-75008586240.23663
507.0	-6068062362.759023	-54612298862.047104	-19186116565.614532
508.0	13328541176.844765	-31322574038.364925	2402019951.225533
509.0	41464029092.1352	4352273681.906353	35279635654.48217
510.0	59926165337.70615	26881609147.597622	55573732970.32092
511.0	84804416152.15756	55070911037.4398	85722884592.39467
512.0	105349208257.07733	82189907391.50157	113714701483.97533
513.0	115542790617.38528	91125428133.23557	128049509583.52477
514.0	139115733240.76776	124117746005.32101	150354054072.65967
515.0	167594394079.00775	154371392535.69763	185006349863.56882
516.0	187820739513.51114	179373209714.80365	210478061482.08322
517.0	223252440166.691	219154896398.26572	249635840774.75015
518.0	210915997774.4802	210821412170.5625	239495626875.63937
519.0	230028088971.17148	238410119217.0414	265569792564.4874
520.0	244315483350.26715	250850805223.2518	278898216529.769
521.0	268219587388.91586	275649076122.31335	305190328134.31067
522.0	272528503489.8038	289913844053.9367	316242982257.8196
523.0	288708246423.9109	311121862944.358	329437203856.76184
524.0	296876644169.4423	328370092124.3638	339780284976.4868
525.0	332925329762.91125	355934200062.5429	383538540713.9843
526.0	324558604780.87616	356778871330.0305	378296115180.36743
527.0	343803223104.0762	379901409623.8596	406901884884.06604
528.0	350494904224.79004	391143526794.3978	415231584690.6723
529.0	381815414827.96094	419718217353.26697	446722253968.9359
530.0	385768105894.04565	428030154092.99426	451974890115.7094
531.0	395842169520.66473	447939863061.40906	474539791241.4009
532.0	391710356054.0537	442845290278.1119	473562744533.05756
533.0	412529266169.44507	468941078140.1686	494070283901.3522
534.0	414462066493.99335	486815138621.9156	510325133533.3749
535.0	436304692236.29175	501740685695.3408	521387316305.8512
536.0	432960103606.697	510925191935.04724	523813393192.81616
537.0	459144927542.4388	538011557096.5558	556186299241.0063
538.0	466795570656.7217	547917395194.774	563802056830.9226
539.0	461016952894.4373	548009232377.00604	570984476755.8167
