wavelength	ocp	red	diff
763.1	0.0006	0.0228	0.0222
763.67	0.0005	0.0223	0.0218
764.23	0.0003	0.0219	0.0216
764.8	0.0002	0.0216	0.0214
765.36	0.0002	0.0213	0.0211
765.93	0.0002	0.021	0.0208
766.49	0.0002	0.0208	0.0206
767.06	0.0003	0.0206	0.0203
767.62	0.0003	0.0204	0.0201
768.19	0.0004	0.0202	0.0198
768.76	0.0004	0.02	0.0196
769.32	0.0005	0.0198	0.0193
769.89	0.0006	0.0197	0.0191
770.45	0.0008	0.0196	0.0188
771.02	0.0009	0.0195	0.0186
771.58	0.0011	0.0194	0.0183
772.15	0.0012	0.0193	0.0181
772.71	0.0013	0.0192	0.0179
773.28	0.0014	0.0191	0.0177
773.84	0.0015	0.0189	0.0174
774.41	0.0015	0.0187	0.0172
774.97	0.0014	0.0185	0.0171
775.53	0.0014	0.0183	0.0169
776.1	0.0013	0.018	0.0167
776.66	0.0013	0.0177	0.0164
777.23	0.0012	0.0175	0.0163
777.79	0.0012	0.0173	0.0161
778.36	0.0012	0.017	0.0158
778.92	0.0012	0.0168	0.0156
779.49	0.0012	0.0166	0.0154
780.05	0.0011	0.0164	0.0153
780.62	0.0011	0.0162	0.0151
