wavelength	ocp	red	diff
430.97	0.9611	1.1041	0.143
431.56	0.9634	1.1083	0.1449
432.15	0.9653	1.1121	0.1468
432.74	0.967	1.1156	0.1486
433.32	0.9692	1.1195	0.1503
433.91	0.9711	1.1229	0.1518
434.5	0.973	1.1265	0.1535
435.09	0.9747	1.1293	0.1546
435.68	0.9766	1.1326	0.156
436.27	0.9785	1.1357	0.1572
436.85	0.981	1.1391	0.1581
437.44	0.9833	1.1422	0.1589
438.03	0.9856	1.1454	0.1598
438.62	0.9877	1.1484	0.1607
439.21	0.9898	1.1514	0.1616
439.79	0.9917	1.1541	0.1624
440.38	0.9937	1.1569	0.1632
440.97	0.995	1.1589	0.1639
441.56	0.996	1.1608	0.1648
442.15	0.9971	1.1631	0.166
442.73	0.9978	1.1654	0.1676
443.32	0.9982	1.1673	0.1691
443.91	0.9989	1.1692	0.1703
444.5	0.9995	1.1716	0.1721
445.09	1	1.1736	0.1736
445.67	0.9998	1.1749	0.1751
446.26	0.9987	1.1762	0.1775
446.85	0.9974	1.1773	0.1799
447.44	0.9959	1.1783	0.1824
448.02	0.9941	1.179	0.1849
448.61	0.9922	1.1801	0.1879
449.2	0.9901	1.1812	0.1911
449.79	0.9879	1.1823	0.1944
450.37	0.9858	1.1833	0.1975
450.96	0.9832	1.1842	0.201
451.55	0.9806	1.1851	0.2045
452.14	0.9781	1.186	0.2079
452.72	0.975	1.1868	0.2118
453.31	0.9707	1.1868	0.2161
453.9	0.9665	1.1863	0.2198
454.48	0.9616	1.1855	0.2239
455.07	0.9565	1.1842	0.2277
455.66	0.9512	1.1823	0.2311
456.25	0.9457	1.1808	0.2351
456.83	0.9404	1.179	0.2386
457.42	0.9346	1.177	0.2424
458.01	0.929	1.1752	0.2462
458.59	0.924	1.1735	0.2495
459.18	0.919	1.1717	0.2527
459.77	0.9139	1.17	0.2561
460.35	0.9077	1.1671	0.2594
460.94	0.9006	1.1626	0.262
461.53	0.893	1.1575	0.2645
462.11	0.8852	1.152	0.2668
462.7	0.8769	1.1465	0.2696
