	A	B	C
394.0	0.0	0.0	0.0
395.0	0.0	0.0	0.0
396.0	0.0	0.0	0.0
397.0	0.0	0.0	0.0
398.0	0.0	0.0	0.0
399.0	0.0	0.0	0.0
400.0	0.0	0.0	0.0
401.0	0.0	0.0	0.0
402.0	0.0	0.0	0.0
403.0	0.0	0.0	0.0
404.0	0.0	0.0	0.0
405.0	0.0	0.0	0.0
406.0	0.0	0.0	0.0
407.0	-5.127011829832776e+37	-5.1270118298327755e+37	-5.222465791751529e+37
408.0	-5.453505398278153e+37	-5.453505398278152e+37	-5.575776921588915e+37
409.0	-5.631745409631961e+37	-5.631745409631959e+37	-5.687341271649018e+37
410.0	-5.81594038771832e+37	-5.815940387718317e+37	-5.86707050023392e+37
411.0	-6.0661193055665635e+37	-6.066119305566561e+37	-6.074783084319092e+37
412.0	-6.190314985885377e+37	-6.190314985885375e+37	-6.192892355954007e+37
413.0	-6.297741183700561e+37	-6.297741183700556e+37	-6.283837013085224e+37
414.0	-6.480697137673033e+37	-6.4806971376730295e+37	-6.432963899077168e+37
415.0	-6.494377612305799e+37	-6.494377612305796e+37	-6.472605768034234e+37
416.0	-6.741791399864876e+37	-6.741791399864873e+37	-6.699515318698726e+37
417.0	-6.807397110699961e+37	-6.807397110699957e+37	-6.727082206122124e+37
418.0	-6.852655615231539e+37	-6.852655615231535e+37	-6.843659012717116e+37
419.0	-7.095318585128632e+37	-7.095318585128629e+37	-6.980656420124591e+37
420.0	-7.280593256184348e+37	-7.280593256184344e+37	-7.159771762847944e+37
421.0	-7.28126473893473e+37	-7.281264738934727e+37	-7.194273117746368e+37
422.0	-7.260157485165618e+37	-7.260157485165614e+37	-7.174766573360544e+37
423.0	-7.389775950338531e+37	-7.389775950338529e+37	-7.34376441810515e+37
424.0	-7.3797364943191955e+37	-7.379736494319195e+37	-7.361529689658804e+37
425.0	-7.424241705212752e+37	-7.424241705212748e+37	-7.4026937307982525e+37
426.0	-7.538107148372207e+37	-7.538107148372205e+37	-7.551862736532478e+37
427.0	-7.794316313116846e+37	-7.794316313116843e+37	-7.809216839887603e+37
428.0	-7.6683932561477935e+37	-7.668393256147788e+37	-7.699806235402769e+37
429.0	-7.617430046925373e+37	-7.61743004692537e+37	-7.668942910987207e+37
430.0	-7.804045599301047e+37	-7.804045599301042e+37	-7.840442663902764e+37
431.0	-7.728287490120168e+37	-7.728287490120164e+37	-7.799593546909812e+37
432.0	-7.618142343840955e+37	-7.61814234384095e+37	-7.6981613002765775e+37
433.0	-7.727168892106727e+37	-7.727168892106724e+37	-7.8374475207633245e+37
434.0	-7.725759048174978e+37	-7.725759048174975e+37	-7.8529866139759e+37
435.0	-7.670340870554283e+37	-7.670340870554279e+37	-7.867019448860654e+37
436.0	-7.57328689733947e+37	-7.573286897339467e+37	-7.787421159428452e+37
437.0	-7.626252345106361e+37	-7.6262523451063575e+37	-7.813749954729239e+37
438.0	-7.578915862266724e+37	-7.578915862266722e+37	-7.819322175677029e+37
439.0	-7.542051309617706e+37	-7.542051309617701e+37	-7.763725872824779e+37
440.0	-7.538535516206516e+37	-7.538535516206514e+37	-7.79739383939039e+37
441.0	-7.504193958146748e+37	-7.504193958146743e+37	-7.767535196415695e+37
442.0	-7.378674591071329e+37	-7.378674591071326e+37	-7.662116096815827e+37
443.0	-7.306757834672212e+37	-7.306757834672208e+37	-7.591185615711923e+37
444.0	-7.375171486236527e+37	-7.375171486236523e+37	-7.655878046234208e+37
445.0	-7.236044916834083e+37	-7.236044916834079e+37	-7.552328821287826e+37
446.0	-7.1882054570673385e+37	-7.188205457067338e+37	-7.524528575131878e+37
447.0	-7.118036312425275e+37	-7.118036312425273e+37	-7.453471526796714e+37
448.0	-7.085041722983106e+37	-7.085041722983101e+37	-7.439148628476558e+37
