Time in ps	0.525 ps (0.5 - 0.55 ps)	1.5 ps (1.3999 - 1.6 ps)	19.8 ps (19.1772 - 20.4 ps)	101 ps (94.9126 - 108 ps)	1.01e+03 ps (949.418 - 1.08e+03 ps)
320.0	0.023108431331003286	0.023733952009158486	0.02628676898664767	0.026307623557648263	0.026061215915729564
321.0	0.02627408535913384	0.027394053071419774	0.03196699713692512	0.03201701543937404	0.031717131367616475
322.0	0.02243475374224192	0.023580247456265052	0.02825807391958865	0.028312958702929637	0.02804776829650944
323.0	0.02044538547762901	0.0220819206536272	0.028766720298419864	0.028854878019925534	0.02858461178238325
324.0	0.024460107662037416	0.025909376615114346	0.03182830405926947	0.03190103871405447	0.031602240926503856
325.0	0.024121403325655523	0.025463719999847933	0.03094562888926845	0.031011764671885815	0.03072129617786049
326.0	0.02480134448295812	0.0262288025879467	0.032058547804592934	0.03212959223357027	0.03182865372304446
327.0	0.02596968977993674	0.027659393856007818	0.034560654394710726	0.03464759552558398	0.03432307239711001
328.0	0.0241149899519307	0.02551426183715083	0.03122892352008897	0.03129873022628422	0.03100557389902593
329.0	0.026990172519529308	0.02853086032749049	0.034823003354880144	0.0348994972149277	0.03457261467518752
330.0	0.02416180172552445	0.02561418127193867	0.031545864560273355	0.03161904987823592	0.03132289331002862
331.0	0.025032206215971447	0.02684016421575325	0.03422481729443118	0.03432015619522519	0.03399869999352362
332.0	0.024721540531110413	0.02628780999326755	0.03268483029695829	0.03276487539110608	0.03245798656649179
333.0	0.026294016671727618	0.027922858659506077	0.03457535358209164	0.034658105415368734	0.03433348384706428
334.0	0.02523551728159085	0.026838183426931617	0.03338386547498642	0.033465821439071314	0.03315236727562512
335.0	0.02617462216156888	0.027998346370283696	0.0354472601324767	0.03554265449646915	0.03520974789054604
336.0	0.024757950166170172	0.026249875729273738	0.03234307858930012	0.03241830846787862	0.03211466572656103
337.0	0.02502454881516176	0.026633665442782603	0.03320573911695435	0.033288287361297145	0.03297649605248
338.0	0.025921762878657044	0.02741500406819801	0.03351341102868271	0.03358774839035956	0.0332731522106442
339.0	0.026081748947639285	0.02775561412557493	0.03459213119973682	0.03467795887678353	0.034353151353104405
340.0	0.026181897020126764	0.027622457856228404	0.03350554399246808	0.03357627251787401	0.0332617838257068
341.0	0.024105717871176224	0.025547316277265857	0.03143494991116161	0.031507488464096955	0.031212376824361225
342.0	0.025568562678746614	0.02687479994415118	0.03220905329984803	0.03227165197563474	0.0319693828771256
343.0	0.023775274219262326	0.025198417975850908	0.031010684191012942	0.031082312489727967	0.03079118321688676
344.0	0.02312328131272129	0.024378983451410426	0.02950708316627791	0.02956848265471059	0.029291532512769537
345.0	0.024519495474765323	0.02550587288027513	0.029533149672885676	0.02957604356565635	0.029299022605081382
346.0	0.02395307369325969	0.0248976931052631	0.028754406511867225	0.028795088525218955	0.02852538229944762
347.0	0.023133086474875136	0.02398004458107335	0.02743777896419592	0.02747286416257241	0.027215542414846305
348.0	0.02233312444378168	0.02303756300461026	0.02591299875836387	0.025939583329218384	0.025696622898174953
349.0	0.024191152976458286	0.024661637031299515	0.02658072463880812	0.02659069222083813	0.026341633245404606
350.0	0.02467637181550384	0.025050532654260937	0.026575916202721796	0.026579277178501986	0.026330325120834358
351.0	0.023258169696156333	0.02348040024355815	0.024385118959831465	0.024379892750363678	0.02415154099998133
352.0	0.024168988060244	0.024165509364640136	0.024147715074052438	0.02412719784590515	0.023901212936159676
353.0	0.02478222068834476	0.02473545600084895	0.024540679388046927	0.024516861451430366	0.024287226797697372
354.0	0.018702529138856228	0.018493431824570625	0.01763617059265636	0.017607009986058162	0.017442095743193407
355.0	0.02162011263548612	0.021315329885780197	0.02006661081130485	0.020028842324572357	0.01984124423888666
356.0	0.023330714015015713	0.022795860277101874	0.020606685177331257	0.020552673424566566	0.020360168928798536
357.0	0.019293203936695855	0.018932443234095406	0.01745531046596699	0.01741589311012743	0.01725276894368643
358.0	0.01944697939060402	0.018807042241960836	0.016189010719324808	0.01613149693484715	0.015980402932541268
359.0	0.023069519631491404	0.022281443013922105	0.019057491840163768	0.01898740241221876	0.01880955886578678
360.0	0.023862362514862442	0.023333867591831765	0.021170599564340406	0.021116550658413634	0.020918764664705783
361.0	0.022681935481414624	0.02163586524211724	0.017357660703108742	0.01727129268570223	0.017109522903860048
362.0	0.017454854417120226	0.01649200559052231	0.012554665640116503	0.012478042495683057	0.012361168197333959
363.0	0.02258470113028354	0.021348961273079815	0.016295671670005556	0.016197178487095877	0.016045469284993306
364.0	0.019446343683964234	0.01826209231168751	0.013419679005322168	0.01332713463496384	0.013202307402565307
365.0	0.02457252570760004	0.023013179214883127	0.016637151936109783	0.016516162926299406	0.01636146598918236
366.0	0.023084997011187477	0.02146448584923908	0.014838724687956531	0.01471504822060286	0.014577221238547692
367.0	0.0216005751042059	0.020032836134857804	0.013622952367241857	0.01350391861262049	0.013377435551130187
368.0	0.020753280565725663	0.019212791012807	0.01291438952416055	0.012797820920491492	0.012677951450210185
369.0	0.025037267802357037	0.023240388325145578	0.01589359545557858	0.015756929016841843	0.015609343365692932
370.0	0.02314612029526869	0.021326732975300165	0.013888240071118314	0.013751712957267839	0.013622908955477804
371.0	0.023771416595268876	0.022034963196001373	0.01493529354993759	0.01480357889315043	0.014664922697622453
372.0	0.022027290853422022	0.02041676505320157	0.013831966437925766	0.013709820707747393	0.013581409085500767
373.0	0.023349810075039005	0.02160732948146624	0.01448309166384365	0.014351343106658226	0.014216922730970149
