Wavelength in nm	0.5 ps (0.45 - 0.55 ps)	1.55 ps (1.3999 - 1.7 ps)	19.9 ps (17.9886 - 21.8 ps)	98.4 ps (89.0312 - 108 ps)	487 ps (440.635 - 534 ps)
335.0	0.025404489015682374	0.027739435951184943	0.035080149577918655	0.03542878288248101	0.03565685360778418
336.0	0.024062569286737417	0.02591175236553282	0.031801276333275535	0.03233091650840491	0.03271418718141847
337.0	0.024341655820669716	0.026355524051407498	0.032735351863657385	0.03319801058707538	0.03352417615996341
338.0	0.025208790511801995	0.02707635847809119	0.03301333404234416	0.033511189136480025	0.03386865619066958
339.0	0.02530811050486695	0.02742998688148233	0.034144352665728704	0.0346063763483714	0.034929694358970566
340.0	0.025652466330223868	0.02734775703755681	0.03280940500961537	0.03350273309753241	0.03402017099113206
341.0	0.02368028019164059	0.02541967999311137	0.03095206685279624	0.03142528652312021	0.031765839621469116
342.0	0.025138205453526255	0.02670735575417109	0.031708896173908235	0.03217135144673067	0.03250698916896826
343.0	0.023391083154204826	0.02509499349692471	0.03052228407169473	0.0310118189612892	0.03136618143142636
344.0	0.022714660954562066	0.024325417049628515	0.029355747229567557	0.029483997843986018	0.029551609684163916
345.0	0.02426845296772045	0.025446057011785452	0.029187411705327997	0.029493882407348012	0.0297133269352029
346.0	0.023582780417307242	0.024714154446675147	0.02833638462985333	0.028723434174714915	0.029008285665017435
347.0	0.022781530687442614	0.023856235816351698	0.027234231758593925	0.02739232390443319	0.02749540109271135
348.0	0.02210757554217274	0.022979935695376527	0.02572995371505997	0.025885075439576754	0.025990162198200047
349.0	0.024106633009814048	0.02460903645867159	0.02625232680644357	0.02654028187075957	0.026759555287447587
350.0	0.024636783798229353	0.024999461645569463	0.02621793163179315	0.02653326219230463	0.026777443549623
351.0	0.023308540482271527	0.023458353884490923	0.024019346116722438	0.02434205453044887	0.02459674457329632
352.0	0.024026698158157868	0.023976033287061507	0.023885718978441346	0.024108304332730035	0.02428731093736318
353.0	0.024786924313749112	0.024657725294652075	0.02431049800891034	0.024487941664282906	0.024632568656652715
354.0	0.01879010113266362	0.018463530060333678	0.017482971276947954	0.017588150395496254	0.017679293529309036
355.0	0.021732527690452922	0.021288496945687418	0.019934676194306816	0.020009013570428384	0.02007805013840505
356.0	0.023449958992748335	0.022639869210648467	0.02023103711885311	0.02057047708246053	0.02085933658333118
357.0	0.019302211195607145	0.018814430291899723	0.01732529807313631	0.017400552066478628	0.017471269114069567
358.0	0.019474404056491208	0.018630990687627993	0.0160470470848251	0.016146761510172955	0.016244734131642496
359.0	0.023336803948045347	0.022277572456033557	0.018997764317297532	0.019007306194063413	0.019037880999782823
360.0	0.023938124031145508	0.02318188431068231	0.02089789262849678	0.02109702323016895	0.021272569022034695
361.0	0.02251059565086173	0.021342140490956302	0.017617498169515144	0.017272186143933912	0.017021498157145806
362.0	0.017566286016601262	0.01649364898777478	0.013011060649425999	0.012482558905281799	0.012083374384505552
363.0	0.02260486661854609	0.021165983135010422	0.01659140591000186	0.016206550861778555	0.015930115561820817
364.0	0.019170579657110956	0.01796971735228651	0.014033028826478484	0.013315262283237289	0.012767579388850092
365.0	0.02453063517184316	0.02280987494237824	0.017256837849447215	0.01652194742164422	0.015971841208141723
366.0	0.02298565130129754	0.02125905833993393	0.015633845992988022	0.014718426434968263	0.014024152508649891
367.0	0.021568559548292746	0.01979054837910418	0.014105805372790955	0.013523484787868462	0.01309656557116713
368.0	0.020729962887255926	0.01904008116072411	0.013575320691404507	0.012815672544530985	0.012245108898001894
369.0	0.02513997920965433	0.023043754990617976	0.01637010658660511	0.015778674405497215	0.01535136648460679
370.0	0.02337650403101886	0.021250896044472733	0.014455446768866788	0.013761442840132254	0.013252787539684356
371.0	0.02373663624708037	0.021753530456145476	0.015424210607592215	0.014811965235922991	0.014365570962804344
372.0	0.021998600701304973	0.020174550249537973	0.014337309076052566	0.013722226715556096	0.013270118965829025
373.0	0.023308283008112052	0.02128767104842541	0.014874454970867928	0.014370125886570424	0.01401079996176661
374.0	0.022111378315244748	0.02013884332739118	0.01386041389138904	0.01330866972297741	0.012910404089112475
375.0	0.02036463773831093	0.018431594691457016	0.012302966583762608	0.011842695558352268	0.011516687372024997
376.0	0.019108566293595725	0.017281863731264762	0.011449825055587887	0.010879530621269276	0.010463278609761024
377.0	0.020774383629278817	0.01892685483348378	0.01307704007521871	0.01266280624604276	0.01237174220582322
378.0	0.017837756567586696	0.016133664080332	0.010713427673189162	0.010249320414978495	0.009915285799925124
379.0	0.0	0.0	0.0	0.0	0.0
405.0	-0.03213561236284049	-0.03241871646973952	-0.033240968693570266	-0.03305704794785032	-0.032903909590613234
406.0	-0.033345277566859066	-0.033502651873583304	-0.03394033778291992	-0.03377337988054203	-0.03363652357784364
407.0	-0.03461655492757187	-0.03484616253764544	-0.03545077246028566	-0.03509382405296306	-0.03480354641876198
408.0	-0.036880330676164114	-0.037114630579406664	-0.037755278235797295	-0.03747006187782138	-0.03723701687826644
409.0	-0.038005117140053946	-0.038155347184198524	-0.03853030741949834	-0.03822791785312901	-0.03798296794397608
410.0	-0.0392519923607121	-0.03942151419522964	-0.039827223139670305	-0.03942793184913624	-0.0391051119703792
411.0	-0.040947533420482324	-0.041050155906039165	-0.041243098224576724	-0.040825658128116935	-0.040489781562984765
412.0	-0.04180099998641733	-0.041873882377257136	-0.041991450603794354	-0.04163005069315324	-0.041339610478007584
413.0	-0.042423118660809916	-0.042511401008348076	-0.042658091080638456	-0.042234608839892995	-0.04189421356208604
