Wavelength in nm	0.5 ps (0.45 - 0.55 ps)	1.55 ps (1.3999 - 1.7 ps)	19.9 ps (17.9886 - 21.8 ps)	98.4 ps (89.0312 - 108 ps)	487 ps (440.635 - 534 ps)
335.0	0.025474574790847096	0.028767312854502278	0.03426683002844578	0.03554205317872481	0.035192555660703714
336.0	0.023839327371362483	0.02702612844000242	0.03232884609535502	0.03285686832758849	0.03190089909362698
337.0	0.02412995706670184	0.027071235324351916	0.03306394752030637	0.0337773600367556	0.033035343714299316
338.0	0.025235829001211255	0.02759976420916597	0.032768228982214494	0.034529431864583654	0.03284349735119166
339.0	0.024392702787438374	0.028026510963186594	0.033727903820030214	0.03487485420549137	0.03459536985762013
340.0	0.02551056441021072	0.028019004877825594	0.033380505100989256	0.03395205495057963	0.03362136118189337
341.0	0.023506184272203145	0.026163611099384986	0.030804385068344393	0.032292028291352894	0.030608951641462868
342.0	0.025826418195379612	0.02747864666839227	0.03189524505611284	0.03297320014028069	0.031659150733985
343.0	0.022749595938433634	0.025891079341739464	0.0307221773866183	0.031176794830789823	0.031048431758291733
344.0	0.02252656216790771	0.024875863997419118	0.029750162564466387	0.029725478426657913	0.029533201265725815
345.0	0.02429592617505075	0.02594970231810149	0.029420507877941343	0.03016748929497644	0.02951427241312179
346.0	0.023893237443967253	0.02601358021109251	0.02892164450955385	0.029210891885614775	0.028701811082025224
347.0	0.022121200970303262	0.024181726035884504	0.027552562919475738	0.02762417174813453	0.02782111117797788
348.0	0.022434428396415573	0.02372567143750019	0.0265553428718342	0.025648303551516333	0.025649001965757794
349.0	0.024259432807608693	0.025638037657825463	0.025971005376174503	0.027732048922063667	0.026457470965445224
350.0	0.02433357808288286	0.02531748002881586	0.027108928948878116	0.0274841186401947	0.025601653792298996
351.0	0.02241881580948634	0.024168077827426467	0.024041919719065958	0.024506128200138536	0.02475479156137345
352.0	0.02408455350987315	0.02449811909829025	0.02425388989872505	0.02400220046052241	0.02395173329249131
353.0	0.023887109136247878	0.0249763340412076	0.023594886697940007	0.0250389675761649	0.02595143012076148
354.0	0.020073708849137787	0.019174009784802704	0.018445393266018944	0.018555392760610186	0.0165618545691056
355.0	0.02014825777985047	0.021366589037749118	0.0195884120323728	0.01971831327390509	0.019454912139834954
356.0	0.022686190677352155	0.022352665764008562	0.02128441260589593	0.018601106235190276	0.019892104247021262
357.0	0.01747671723166019	0.019903879024201883	0.01795895531711258	0.020038361223992617	0.016558159283142023
358.0	0.020537349844878414	0.02071793846379289	0.01922261401617648	0.014698943354204186	0.01621798671201542
359.0	0.023203739522913207	0.022635230540941104	0.020355847088320462	0.020563495508366985	0.01951111659364653
360.0	0.023834932493702103	0.022833263257587926	0.02142296346201968	0.018850287163921446	0.021763255249965575
361.0	0.02347359269497097	0.021032388830626265	0.016024829283215646	0.018939744674434943	0.018008119927105912
362.0	0.016782290752013568	0.01801428682317258	0.014221277298114789	0.012050634070153091	0.01111259131422101
363.0	0.022152264813081045	0.021605227143904088	0.018076181609436803	0.015407241239568966	0.015047520875024416
364.0	0.02021817741707659	0.017704722649600307	0.014650033002164114	0.013482043800608337	0.012415798618499752
365.0	0.024630015644106443	0.0224588691044468	0.016815148486531987	0.01721369244323023	0.016595366436285893
366.0	0.023026258431568098	0.02046458437756632	0.016474335376546325	0.015089465502851574	0.013636812618538502
367.0	0.022225637053441136	0.019862645623431482	0.01373141101753877	0.012794967118239313	0.012918127945651519
368.0	0.019693978476265486	0.018964638239535692	0.014577540223204013	0.01281250072714773	0.012622765233868733
369.0	0.025091840472345098	0.022986478409745343	0.01631009759554435	0.015951158902809025	0.015253926204703576
370.0	0.022831087177732197	0.02104181291543314	0.015025286948201653	0.013709022439327664	0.013162300541302319
371.0	0.024125139994937893	0.021941017798636737	0.015056906940094527	0.01456071933001766	0.014231553873093388
372.0	0.022195112422727276	0.019466199773792287	0.014996181199768192	0.013149388854710809	0.012980269687850538
373.0	0.022815413641050136	0.02104831295523048	0.01479093915720346	0.014600698863618915	0.014048057266292205
374.0	0.022593942859339633	0.01919498237191745	0.014685241096840032	0.013882253810812845	0.013106213178099112
375.0	0.021007305613548216	0.018001142815057856	0.012432944625058276	0.011342904513337068	0.01148499436259478
376.0	0.019161209563157228	0.01660026457607967	0.011587436725659124	0.011040220817000979	0.009979390941972468
377.0	0.02142719701523049	0.018986237879427142	0.012377466760997255	0.013036189679130762	0.012637493628546858
378.0	0.01847029093983259	0.015951371053284157	0.010931832284927112	0.009651418176609207	0.009844868453886243
379.0	0.0	0.0	0.0	0.0	0.0
405.0	-0.03189882749101057	-0.032853359727346494	-0.03396460096827509	-0.03413082894696939	-0.03230780530791208
406.0	-0.0332093085121475	-0.033827096406989034	-0.034384341314842505	-0.03401027005140122	-0.03364289777279164
407.0	-0.034726001910252886	-0.034799765457952984	-0.03604566011522752	-0.03558065192286625	-0.03477488369359231
408.0	-0.037070972807980135	-0.037793441791086825	-0.03806619654979255	-0.037771535134207376	-0.0373325303714507
409.0	-0.03794433041046463	-0.038479174798123024	-0.03921596344676833	-0.03841372741032794	-0.037925568216138156
410.0	-0.03952071520416474	-0.039789875321600526	-0.040634226873125436	-0.039875991398854484	-0.03900396123282638
411.0	-0.04104985171462779	-0.041268738387721125	-0.04160042941634321	-0.041442904511453195	-0.03989378647453225
412.0	-0.041495868950710765	-0.04201559037821278	-0.04198244767854654	-0.0416170913521142	-0.04080306135793325
413.0	-0.042315822561831015	-0.0428816962317474	-0.04318325081262466	-0.04227718462429666	-0.04160396682435233
