Time in ps	0.525 ps (0.5 - 0.55 ps)	1.5 ps (1.3999 - 1.6 ps)	19.8 ps (19.1772 - 20.4 ps)	101 ps (94.9126 - 108 ps)	1.01e+03 ps (949.418 - 1.08e+03 ps)
320.0	0.026328611752132226	0.023577173543083772	0.025587985074312765	0.0253246186946437	0.027731504233552588
321.0	0.022921306633874133	0.027730874818184863	0.028811899157423996	0.03323261753809102	0.03346500711020253
322.0	0.019018686496351994	0.023847280846898408	0.03802312408849695	0.029880740449201984	0.027809457696128047
323.0	0.02469861523580757	0.023266533727989567	0.029302249535006975	0.029441444988145486	0.03029745602779227
324.0	0.023814427589155227	0.025532950425059132	0.03343027270931714	0.032034428051804	0.03189667859975116
325.0	0.021763734856987904	0.0259748176518921	0.030680720078449464	0.031290081410937344	0.03079810237587676
326.0	0.024387994374392433	0.025895982640483248	0.03477836128583299	0.032540036425229624	0.030449403132477647
327.0	0.026024136610662704	0.025343395800216766	0.03437891804076779	0.03591956143186983	0.0389928657746448
328.0	0.02346938322159375	0.02563288951975738	0.03185798277238585	0.032332950951751	0.03155282391183989
329.0	0.02670366537260287	0.028062436615056714	0.03531472659147741	0.03507003846124736	0.034385530490447735
330.0	0.02494678572210002	0.025892846906196844	0.033316747903381454	0.03242423697301153	0.031112002355483635
331.0	0.025226246764356138	0.027305054552023814	0.03277656788027841	0.03496333457421491	0.035152165799294484
332.0	0.024770452100700936	0.027050903753874374	0.0325013453512814	0.033749853841334415	0.03240154187077096
333.0	0.026698630292188778	0.028225948868461387	0.03546930920319536	0.03546236784772553	0.03400310052615151
334.0	0.025750361098783474	0.028401632229460412	0.03395616112078367	0.0341286665153787	0.03299664931025072
335.0	0.02354014332668849	0.02857076699409832	0.03429954116978208	0.035890491076851216	0.03523525451977625
336.0	0.024655617003316754	0.02680099508338453	0.03238724003622697	0.03246991741631256	0.03253778703388598
337.0	0.025477513772125305	0.026918131822702744	0.03347014588343278	0.03380627315850686	0.03320213196476205
338.0	0.02649025480034321	0.02821077529893098	0.03324477674586337	0.034487335324598946	0.033555934449316815
339.0	0.024815433585296878	0.0285894934345938	0.03493917045569448	0.034781132719500556	0.0349375383505198
340.0	0.02657653308527174	0.02793678761612039	0.03375676834080025	0.03372194461838808	0.03358125000008688
341.0	0.023931920658081914	0.02605073372725296	0.03091375657940127	0.0320571935533346	0.031594214031704114
342.0	0.026532726921731798	0.027566730238288116	0.03217813663882728	0.032947315795698484	0.03209112998143693
343.0	0.023329967804023063	0.025431666363338483	0.030926758183860998	0.031102507347679408	0.031612337720275746
344.0	0.022589746432465436	0.024573871107484824	0.029836434420141947	0.029791111596342696	0.029842698623018016
345.0	0.02401521965926388	0.025868088448333625	0.029601264165016378	0.030427212683053994	0.029164851320109722
346.0	0.023300194474253553	0.025424309500224458	0.029372582065742364	0.028841988816191877	0.029023613589838754
347.0	0.022592585929214367	0.024245134560917612	0.027658493119524032	0.027785587537897317	0.027860922910490582
348.0	0.022792066180586167	0.023258714977528017	0.02617989169872814	0.02530714547766521	0.025508627475876886
349.0	0.024237496252277838	0.02480814090599926	0.02670197305911257	0.02771085677432062	0.026619237451193694
350.0	0.024947359641665726	0.025897845542220188	0.027404923620252826	0.02736172811375809	0.026584262311143827
351.0	0.022727110120446734	0.023824405545697657	0.024625697840449514	0.0239825289811514	0.02513577928504799
352.0	0.023902961894707406	0.024155333934398046	0.02344534093216662	0.024206357399108883	0.025211621058260823
353.0	0.02306491171705058	0.024798498651290704	0.02348465484718703	0.025817847825342622	0.025647986545996496
354.0	0.020001765105412465	0.01918210036950948	0.018634267870185742	0.01863031940764987	0.014891176937073362
355.0	0.019439632960565733	0.02315711067529947	0.020288047939940556	0.01999939607756037	0.01867224036788386
356.0	0.022642593847574808	0.02161566638715062	0.0212202640797134	0.018913747715620082	0.020565013260405884
357.0	0.017451938023232822	0.020697862378740946	0.01924108389162096	0.021073115651313385	0.01735817168897289
358.0	0.02009253398251069	0.021413844411199336	0.018788800434973163	0.01366794453266871	0.013403476875076046
359.0	0.023268993369788316	0.02253538340990264	0.021044012617500274	0.01929786832004083	0.01803605067511737
360.0	0.02394693931018076	0.022309768451207856	0.02206964346564301	0.01922897364048415	0.02176312424847521
361.0	0.023607744373095995	0.02131144859185781	0.01435225132343371	0.01859416915190104	0.015661186006708287
362.0	0.016782329694369616	0.01735038645976685	0.012781674961059765	0.012040185690247453	0.010247088519244923
363.0	0.022097500593182516	0.022216918061951738	0.01798368964546443	0.015503297827237215	0.015469161622031779
364.0	0.02015789413002669	0.01808536789178584	0.014622733057022523	0.013417445291090305	0.01334112670336119
365.0	0.02466100413225512	0.02357802023124744	0.016716956130480132	0.017167176052087618	0.015208402807918204
366.0	0.022926037793049442	0.02195576162385114	0.016563746867319224	0.014791314109488297	0.012070970536105207
367.0	0.02209977095218424	0.020289408675983892	0.014223455388029488	0.012798413510415144	0.012632763184999962
368.0	0.01971229261723283	0.01967134956427844	0.015067120305285401	0.012396071096285906	0.012142453988296014
369.0	0.024997981866481184	0.02277862401832448	0.016308763310224284	0.015905402988338115	0.014896040590716197
370.0	0.022648144243410898	0.019886002943307148	0.014882799628456941	0.013660522267046993	0.011272877188545933
371.0	0.024202480016562156	0.021953289027035208	0.01509018555568951	0.014628023458062824	0.014512605455736162
372.0	0.022160012406658085	0.01970538679376003	0.014628671616736248	0.013038456017382752	0.013209155901704319
373.0	0.023213145056821136	0.020838763895880463	0.014669055505642115	0.014663667613042115	0.013881377239876022
