	A	B	C
494.0	-231811105766.8509	-231811105766.851	-259152647531.33228
495.0	-204075255541.27606	-204075255541.27615	-225960422192.6531
496.0	-197603766768.05313	-197603766768.05325	-219421169656.49365
497.0	-171584140270.489	-171584140270.48917	-194196507143.62918
498.0	-153291134343.31848	-153291134343.3186	-177649803459.94788
499.0	-130534016729.10825	-130534016729.10834	-152969977298.18677
500.0	-120192329336.01279	-120192329336.01286	-141184538488.47308
501.0	-94093561452.22302	-94093561452.2231	-113310576100.06001
502.0	-78318311763.22552	-78318311763.22556	-96960540733.77008
503.0	-73334689181.89752	-73334689181.89757	-89613179069.99861
504.0	-55811736012.779205	-55811736012.77923	-69522566521.13849
505.0	-38425890624.14264	-38425890624.142654	-52084555228.95646
506.0	-30875412774.206654	-30875412774.20668	-42003661428.53288
507.0	-8478263912.28237	-8478263912.282375	-15930493869.475424
508.0	1438297872.1736724	1438297872.1736753	-4778819930.1225605
509.0	16120617375.971722	16120617375.971733	12160129165.565552
510.0	25603307071.782528	25603307071.78254	22752295659.222847
511.0	38153284657.782585	38153284657.78261	37466242573.157
512.0	48432731503.73317	48432731503.73321	51350875682.70497
513.0	52748902192.81736	52748902192.817406	57604723339.42653
514.0	66037435787.29369	66037435787.29374	70661339666.61269
515.0	79876081870.84637	79876081870.84642	87233185827.14235
516.0	90116947106.51334	90116947106.5134	99887959610.57515
517.0	107904103764.2004	107904103764.20045	119638032778.07567
518.0	101771678343.09695	101771678343.097	114952086623.31833
519.0	111901060829.37886	111901060829.37892	128245194117.475
520.0	118925354432.98383	118925354432.98389	134736024146.2575
521.0	130511287678.75995	130511287678.76006	147691710372.40512
522.0	133333772288.16322	133333772288.16331	153812905690.38754
523.0	142397997805.6787	142397997805.67883	161835272924.01184
524.0	147558344105.33997	147558344105.3401	168248273608.14148
525.0	163456675561.1744	163456675561.17456	187292901059.55875
526.0	160214146021.13614	160214146021.13626	185762712579.70938
527.0	169344683478.44165	169344683478.44174	199179633572.7061
528.0	173179257433.34256	173179257433.3427	203865732355.70108
529.0	188444973992.83423	188444973992.83438	219073520662.2855
530.0	190686327543.78937	190686327543.78952	222301690498.197
531.0	195679830644.0723	195679830644.07245	233172020207.78677
532.0	193388466104.64343	193388466104.64355	231897596830.96616
533.0	204264489189.20728	204264489189.20743	243202808236.6818
534.0	205828075385.39322	205828075385.39343	251719350139.41388
535.0	217030748641.9158	217030748641.916	257854035277.64383
536.0	216269796784.73196	216269796784.73215	260328542356.49637
537.0	228746261326.86716	228746261326.86734	275631477603.7104
538.0	232856284589.58585	232856284589.58597	279845911534.25885
539.0	229422910469.0562	229422910469.05637	282222742106.4766
540.0	232541820598.52094	232541820598.52115	287542628029.41724
541.0	238376673676.84067	238376673676.84088	292635893877.1721
542.0	246826802398.08795	246826802398.0881	306909728547.08386
543.0	248967200696.1664	248967200696.1666	305829962299.4228
544.0	255218513790.67908	255218513790.6792	314782961940.4141
545.0	257111818140.56494	257111818140.56522	319918483704.92377
546.0	261596641793.61984	261596641793.61996	322107132166.5237
547.0	261347084569.3717	261347084569.37186	326443435016.50494
548.0	252806914493.01642	252806914493.01657	320038504352.71924
549.0	261774225906.69455	261774225906.6947	331923685927.6186
550.0	259578420691.50168	259578420691.5019	333541799741.61676
551.0	266471990103.23233	266471990103.23257	339685798324.4489
552.0	268866811800.22153	268866811800.22168	346362247038.4704
553.0	273952799673.17587	273952799673.176	352388388698.6814
554.0	267436075902.11398	267436075902.11414	350326889283.5507
555.0	273420808318.7692	273420808318.76938	353695054652.55505
556.0	276085861835.61255	276085861835.61273	364084922454.3813
557.0	280985867769.2711	280985867769.27124	366603735574.5384
558.0	286022864630.39087	286022864630.391	374447552320.2731
559.0	288350938905.6512	288350938905.6514	381488422800.50195
560.0	276103734488.6162	276103734488.6164	373430871875.8123
561.0	289298780506.5406	289298780506.5408	383197987635.1594
562.0	291548050153.61096	291548050153.6112	387940115884.84094
563.0	293349345083.3263	293349345083.3265	395468952696.60803
564.0	301232674360.49396	301232674360.49414	399919158116.9879
565.0	307155867699.453	307155867699.4531	415443423777.7021
566.0	296494487475.50305	296494487475.50323	405402703230.8665
567.0	304123565676.7135	304123565676.7138	414826876046.6544
568.0	296030388784.9729	296030388784.9732	408712471341.51447
569.0	306016762683.04803	306016762683.04816	417507652800.22974
570.0	310829992533.9069	310829992533.90717	425082834111.18994
571.0	315148137806.0758	315148137806.07605	429444461863.38464
572.0	302632819383.91766	302632819383.9177	420562384141.43134
573.0	297982640041.805	297982640041.80524	414130688610.5876
574.0	300597456823.4334	300597456823.43365	413622954777.41486
575.0	300306152151.12225	300306152151.12244	415166752354.6693
576.0	289899056173.74963	289899056173.74976	411307485979.843
577.0	300958938035.32654	300958938035.3268	419559885353.95154
578.0	314497045463.1933	314497045463.1935	431267173542.1721
579.0	309794382709.4718	309794382709.47205	434150443955.3867
580.0	297251027307.70435	297251027307.7045	426141039673.8584
581.0	311992535881.5698	311992535881.56995	445507289743.24854
582.0	308739322987.03064	308739322987.0309	432684169845.2788
583.0	312147009062.70966	312147009062.7098	434387770108.09576
584.0	305918414711.6192	305918414711.6194	434964379594.31775
585.0	301315007458.69666	301315007458.6968	423213258578.3652
586.0	308440332366.5354	308440332366.53564	431658078001.51184
587.0	301715536040.56116	301715536040.5614	420815004080.9061
588.0	283592165981.6783	283592165981.6784	408976501136.8034
589.0	285274276906.1786	285274276906.1789	405969399765.8084
590.0	303294086342.2577	303294086342.2579	417024628358.07245
591.0	306703660604.61035	306703660604.6106	426579985849.4569
592.0	279885187350.17456	279885187350.1747	399653612415.37366
593.0	290142250013.2672	290142250013.26733	409361240909.209
594.0	293158557134.7125	293158557134.7127	412971646718.04474
595.0	280663662711.47485	280663662711.4749	395668414849.79114
596.0	283099496682.8893	283099496682.88947	396946537376.61176
597.0	285930196359.0099	285930196359.01013	398113066087.83734
598.0	283341812533.3301	283341812533.3303	398531416428.3867
599.0	287423468552.5098	287423468552.51	405805231765.14417
600.0	274630113733.4907	274630113733.4909	384594264357.04877
601.0	289156689600.79	289156689600.7902	406772862302.72125
602.0	290286831919.61066	290286831919.6109	395559311883.42523
603.0	292013140817.42	292013140817.4203	396380045784.2249
604.0	270228228640.9084	270228228640.90863	382162707037.2891
605.0	274450622523.50107	274450622523.5013	379677233063.78033
606.0	281932897936.4836	281932897936.48376	389442495474.4798
607.0	275700225528.1618	275700225528.162	382885842913.0876
608.0	280322083828.2186	280322083828.21875	377319230548.4177
609.0	278029159773.36255	278029159773.3627	371068958223.0816
610.0	265105209180.69995	265105209180.70013	363971161527.8912
611.0	266004293411.60938	266004293411.60956	360501024174.40656
612.0	264718472144.13263	264718472144.1328	359123172968.5977
613.0	264370385097.26266	264370385097.2629	356782460096.97076
614.0	260270415315.18323	260270415315.18338	349954390189.47125
615.0	278989830690.2264	278989830690.22656	370193318758.65393
616.0	264448826775.09293	264448826775.09308	343107244405.3278
617.0	242713377805.81482	242713377805.81503	333438525402.985
618.0	267033870602.10626	267033870602.10632	354473577797.6793
