	A	B	C
424.0	-1500097757609.1316	-1500097757609.1296	-1493432183165.4849
425.0	-1509151874986.1804	-1509151874986.1777	-1501777690103.7422
426.0	-1532278229512.6719	-1532278229512.67	-1532037291315.9114
427.0	-1584371216243.3982	-1584371216243.396	-1584233541724.6099
428.0	-1558762293788.1843	-1558762293788.1821	-1562036976338.556
429.0	-1548375710665.9995	-1548375710665.9978	-1555782568485.0576
430.0	-1586331974781.2307	-1586331974781.2285	-1590570226883.0708
431.0	-1570883949349.762	-1570883949349.7598	-1582281822516.1885
432.0	-1548489438666.2385	-1548489438666.2366	-1561709142778.3833
433.0	-1570634804751.4998	-1570634804751.4973	-1589957349308.4019
434.0	-1570334569975.6052	-1570334569975.603	-1593108259121.7124
435.0	-1559030803320.16	-1559030803320.1575	-1595945524178.3574
436.0	-1539280444296.3704	-1539280444296.368	-1579805470004.8674
437.0	-1550056431724.0264	-1550056431724.0247	-1585146782608.836
438.0	-1540404665667.2947	-1540404665667.293	-1586267551334.5222
439.0	-1532905417711.4253	-1532905417711.423	-1574993949307.2297
440.0	-1532175319383.569	-1532175319383.567	-1581816845125.1897
441.0	-1525191680894.6575	-1525191680894.6555	-1575760406618.4167
442.0	-1499644833299.546	-1499644833299.544	-1554372137709.6711
443.0	-1485033696224.3855	-1485033696224.383	-1539981137686.7722
444.0	-1498932692574.149	-1498932692574.1472	-1553111150258.4094
445.0	-1470619804199.1611	-1470619804199.159	-1532097551219.7078
446.0	-1460887422653.8032	-1460887422653.8013	-1526457376044.7976
447.0	-1446628986036.8774	-1446628986036.8752	-1512038403910.7068
448.0	-1439899706223.9404	-1439899706223.9385	-1509131056819.8032
449.0	-1403876326956.1582	-1403876326956.1562	-1473609264465.7283
450.0	-1411664763118.7642	-1411664763118.762	-1482967237935.735
451.0	-1377345030441.7634	-1377345030441.7615	-1448777690386.6675
452.0	-1349336277416.4126	-1349336277416.411	-1426791978795.7178
453.0	-1300785332530.8904	-1300785332530.8882	-1383073868509.5427
454.0	-1315585350381.028	-1315585350381.0261	-1396821449673.7385
455.0	-1269323953099.8494	-1269323953099.8477	-1355195878795.1401
456.0	-1252963273913.4014	-1252963273913.3994	-1343127455633.1333
457.0	-1204918713628.0574	-1204918713628.056	-1293419753382.7844
458.0	-1208865767142.146	-1208865767142.144	-1297699547791.7764
459.0	-1175104737441.2559	-1175104737441.2544	-1262695423882.7407
460.0	-1168669914561.2476	-1168669914561.2458	-1249381071544.5361
461.0	-1122244496184.0884	-1122244496184.0867	-1207144131571.2737
462.0	-1126960401519.186	-1126960401519.1846	-1207823595141.9763
463.0	-1075571601029.1932	-1075571601029.1917	-1159905987016.866
464.0	-1074642603202.3912	-1074642603202.3895	-1157357171671.8542
465.0	-1027177715405.17	-1027177715405.1686	-1104687972075.6763
466.0	-1016763593493.1809	-1016763593493.1794	-1095886252657.1847
467.0	-1001335398868.1958	-1001335398868.1947	-1071414283965.5879
468.0	-976052387577.4209	-976052387577.4196	-1049434992091.4661
469.0	-927434938345.1259	-927434938345.1245	-1001011839933.8768
470.0	-930862879602.2144	-930862879602.2129	-993128938865.8779
471.0	-881374213507.185	-881374213507.1838	-939574219968.6537
472.0	-855088307098.9163	-855088307098.9149	-908277050880.4478
473.0	-821089027007.1162	-821089027007.115	-874052068944.1863
474.0	-800596443862.3784	-800596443862.3772	-853511062523.4698
475.0	-763454235477.0919	-763454235477.0907	-816738657895.2742
476.0	-744262705951.219	-744262705951.2181	-794777861504.2029
477.0	-714916342808.9567	-714916342808.9558	-762444886743.075
478.0	-679566838427.0819	-679566838427.081	-722014099371.7517
479.0	-642904556629.4938	-642904556629.4929	-678973421523.5126
480.0	-621627091525.4564	-621627091525.4556	-654873597541.9562
481.0	-586779355604.6505	-586779355604.6495	-617876595729.9169
482.0	-554959611894.8167	-554959611894.8159	-590660404199.2288
483.0	-529036590852.58636	-529036590852.5855	-558477159045.366
484.0	-507158831628.62146	-507158831628.6206	-534279054849.1933
485.0	-473577795908.5076	-473577795908.507	-502780164104.39166
486.0	-460874446818.2897	-460874446818.2891	-481955532650.81384
487.0	-406487620072.3367	-406487620072.336	-437689525565.72614
488.0	-376133714514.27814	-376133714514.2776	-407731271197.042
489.0	-357164675290.4186	-357164675290.418	-382245585647.86676
490.0	-327089226150.1673	-327089226150.1669	-354677645941.01337
491.0	-299479819562.6169	-299479819562.6164	-324669309374.2848
492.0	-279662854816.06287	-279662854816.0624	-304144379142.0718
493.0	-263928392611.43878	-263928392611.43845	-288172922747.4366
494.0	-231802915174.33008	-231802915174.32974	-258769907980.41324
495.0	-204060235048.55142	-204060235048.55112	-225627704172.72763
496.0	-197594697937.41403	-197594697937.41388	-219095531774.83582
497.0	-171551965334.3694	-171551965334.3691	-193908017854.045
498.0	-153252981067.52353	-153252981067.5233	-177383955961.9628
499.0	-130496257820.71034	-130496257820.71019	-152736623482.8748
500.0	-120156589418.1277	-120156589418.12755	-140969195436.90118
501.0	-94046732723.03053	-94046732723.03041	-113136675117.54367
502.0	-78267117784.74742	-78267117784.74731	-96811488644.40218
503.0	-73280530717.88437	-73280530717.88428	-89477378720.79968
504.0	-55759207131.36911	-55759207131.369026	-69417309742.9324
505.0	-38359777974.7198	-38359777974.71976	-52004637339.73491
506.0	-30823626349.34329	-30823626349.343254	-41939745532.522156
507.0	-8413542980.453031	-8413542980.453023	-15906663167.866146
508.0	1512581034.5775015	1512581034.5774987	-4774889984.191889
509.0	16184421004.256342	16184421004.256319	12140510040.82216
510.0	25675101640.879906	25675101640.879868	22714124064.89092
511.0	38218484352.77493	38218484352.77489	37407176714.86486
512.0	48490014481.15867	48490014481.15859	51270733009.72669
513.0	52812151147.42836	52812151147.4283	57512281870.03623
